dept,course,sectionNumber,term,day,startTime,endTime,buildingCd,building,roomNo,instructors,activity,credits,totalSeatsRemaining,currentlyRegistered,generalSeatsRemaining,restrictedSeatsRemaining,termCd,startWk,endWk
"CPSC","303","2W1","2","Mon","14:00","15:00"," "," "," ","TBD","Waiting List","3","944","55","944","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","303","2W1","2","Fri","14:00","15:00"," "," "," ","TBD","Waiting List","3","944","55","944","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","303","201","2","Mon","14:00","15:00","DMP","Hugh Dempster Pavilion","301","TBD","Lecture","3","0","56","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","303","2W1","2","Wed","14:00","15:00"," "," "," ","TBD","Waiting List","3","944","55","944","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","303","201","2","Wed","14:00","15:00","DMP","Hugh Dempster Pavilion","301","TBD","Lecture","3","0","56","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","303","201","2","Fri","14:00","15:00","DMP","Hugh Dempster Pavilion","301","TBD","Lecture","3","0","56","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","302","1W1","1","Mon","13:00","14:00"," "," "," ","TBD","Waiting List","3","972","27","972","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","302","1W1","1","Wed","13:00","14:00"," "," "," ","TBD","Waiting List","3","972","27","972","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","302","1W1","1","Fri","13:00","14:00"," "," "," ","TBD","Waiting List","3","972","27","972","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","349","001","1-2","Thu","15:30","17:00","DMP","Hugh Dempster Pavilion","110","TBD","Seminar","0","20","10","0","20","1-2","Sep 05, 2017","Apr 06, 2018"
"CPSC","302","101","1","Mon","13:00","14:00","DMP","Hugh Dempster Pavilion","301","BOSCH, JESSICA","Lecture","3","0","79","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","302","101","1","Wed","13:00","14:00","DMP","Hugh Dempster Pavilion","301","BOSCH, JESSICA","Lecture","3","0","79","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","302","101","1","Fri","13:00","14:00","DMP","Hugh Dempster Pavilion","301","BOSCH, JESSICA","Lecture","3","0","79","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","411","201","2","Tue","14:00","15:30","DMP","Hugh Dempster Pavilion","301","HUTCHINSON, NORMAN","Lecture","3","0","73","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","411","201","2","Thu","14:00","15:30","DMP","Hugh Dempster Pavilion","301","HUTCHINSON, NORMAN","Lecture","3","0","73","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","411","2W1","2","Tue","14:00","15:30"," "," "," ","TBD","Waiting List","3","977","22","977","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","411","2W1","2","Thu","14:00","15:30"," "," "," ","TBD","Waiting List","3","977","22","977","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","406","201","2","Tue","11:00","12:30","DMP","Hugh Dempster Pavilion","110","FRIEDLANDER, MICHAEL","Lecture","3","0","109","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","406","2W1","2","Tue","11:00","12:30"," "," "," ","TBD","Waiting List","3","958","41","958","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","406","201","2","Thu","11:00","12:30","DMP","Hugh Dempster Pavilion","110","FRIEDLANDER, MICHAEL","Lecture","3","0","109","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","406","2W1","2","Thu","11:00","12:30"," "," "," ","TBD","Waiting List","3","958","41","958","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","311","101","1","Mon","10:00","11:00","DMP","Hugh Dempster Pavilion","310","WOLFMAN, STEVEN","Lecture","3","0","168","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","311","101","1","Fri","10:00","11:00","DMP","Hugh Dempster Pavilion","310","WOLFMAN, STEVEN","Lecture","3","0","168","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","311","101","1","Wed","10:00","11:00","DMP","Hugh Dempster Pavilion","310","WOLFMAN, STEVEN","Lecture","3","0","168","0","0","1","Sep 05, 2017","Dec 01, 2017"
